"Id","Context","Source","es","prs","am","ar","az","bn","my","zh-CN","kw","fr","ha","hi","id","quc","km","rw","lo","mam","ne-NP","pbu","pt-PT","fuc","ru","sw","tl","ta","te","th","tr","vi"
"bloomReader","","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader","Bloom Reader"
"downloads","","Downloads","Descargas","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Téléchargements","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads","Downloads"
"downloads.forTranslation","","For Translation","Para traducir","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","A traduire","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation","For Translation"
"stats.bloomReaderSessions","","Bloom Reader Sessions","Sesiones de Bloom Reader","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Séances Bloom Reader","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions","Bloom Reader Sessions"
"language","","Language","Idioma","Language","Language","Language","Language","Language","Language","Language","Language","Langue","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language"
"languages","","Languages","Idiomas","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Langues","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages","Languages"
"stats.booksRead.finishedCount","","Finished","Termindado(s)","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Terminé","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished","Finished"
"stats.booksRead.startedCount","","Started","Empezado(s)","Started","Started","Started","Started","Started","Started","Started","Started","Démarré","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started","Started"
stats.booksRead.downloadsForTranslation,,Downloads for Translation
stats.booksRead.pdfDownloads,,PDF Downloads
stats.booksRead.epubDownloads,,ePUB Downloads
stats.booksRead.bloomPubDownloads,,bloomPub Downloads
stats.bookStatistics,,Book Statistics
